Nom,Prenom,Code_bateau,valeur,n_courses,Age,Embarcation,Club
BAROUDI,Nadj,C1H463064,492.5,2,U18,C1H,1306 - MARSEILLE MAZARGUES CK
BALT,Louis,C1H463090,194.5,4,U15,C1H,2410 - GALO PORT SAINTE FOY
BOITTIN,Clement,C1H463209,655.33,3,U15,C1H,5302 - CK LAVAL
VINCONNEAU,Thomas,C1H464284,232.0,1,U15,C1H,4421 - NANTES ATLANTIQUE CK
VIEU,BARTHELEMY,C1H465643,356.0,1,U21,C1H,2417 - ALP GNP PERIGUEUX
FAYET,Corentin,C1H466045,206.0,4,U18,C1H,3105 - VENERQUE EAUX VIVES
DERVIEUX,Hugues,C1H470728,351.5,4,U18,C1H,7705 - TORCY CK
GIRARD,Lenny,C1H470904,198.75,4,U18,C1H,8604 - CK VIVONNE LES PAGAYOUS
BOYE,Ulysse,C1H470994,890.0,2,U15,C1H,3309 - CK SPORT LIBOURNE
CANEVAROLO,Mathis,C1H471301,266.5,2,U18,C1H,6102 - PL ARGENTAN CANOE KAYAK
BOIZOT,Sacha,C1H471909,212.0,4,U15,C1H,2417 - ALP GNP PERIGUEUX
BRIAND COZETTE,Sacha,C1H472737,379.5,2,U18,C1H,2206 - LA ROCHE DERRIEN CK
IZQUIERDO PEREIRA,Hugo,C1H474309,418.25,4,U15,C1H,3309 - CK SPORT LIBOURNE
AGUESSE,Noam,C1H475757,337.0,4,U15,C1H,4409 - GETIGNE CK
MAHAUT,Onesime,C1H476827,417.25,4,U15,C1H,3501 - KAYAK CLUB PONT REAN
ADAM,Maxime,C1H476864,292.0,4,U15,C1H,6102 - PL ARGENTAN CANOE KAYAK
BELLIERE,Gabin,C1H478264,250.25,4,U18,C1H,2712 - CK VAL DE RISLE
CARRÉ,Maël,C1H478451,558.0,1,U15,C1H,3703 - VAL DE L'INDRE CK
FOUCHER,Yanis,C1H478453,682.0,1,U15,C1H,3703 - VAL DE L'INDRE CK
JACQUET,Nael,C1H478587,270.0,2,U15,C1H,8606 - VALLEE VONNE CK
MAYOUX,NOLAN,C1H478591,410.0,3,U15,C1H,1611 - CK AUBETERRE
SOUNACK,Benjamin,C1H479419,198.25,4,U18,C1H,9202 - BAC CK SEVRES ISSY
MARCHESSEAU,Ewen,C1H479534,121.75,4,U18,C1H,2410 - GALO PORT SAINTE FOY
LEPINE,Martin,C1H479639,706.0,2,U15,C1H,5302 - CK LAVAL
LE MOULT,Thomas,C1H479971,596.0,1,U15,C1H,3309 - CK SPORT LIBOURNE
MACHAVOINE,Samuel,C1H479981,896.0,2,U15,C1H,7705 - TORCY CK
DANGUY HOTE,Eliott,C1H480047,333.0,2,U18,C1H,2410 - GALO PORT SAINTE FOY
CORNUAU,ESTEBAN,C1H480577,1002.0,1,U15,C1H,4107 - VAL DES CHATEAUX CK
VALLON-LAGRANGE,Naoki,C1H481038,1061.0,1,U15,C1H,5614 - C.K.C. AURAY
REGNAULT,Gauthier,C1H481403,402.0,2,U15,C1H,3309 - CK SPORT LIBOURNE
LE ROUZES,Nolhan,C1H482388,213.25,4,U18,C1H,2206 - LA ROCHE DERRIEN CK
ALVAREZ,Francisco,C1H486324,419.0,2,U15,C1H,6803 - C.K. APACH COLMAR
MOINE,Gabriel,C1H500649,486.0,4,U18,C1H,4566 - PAGAIE ORLEANS METROPOLE
HAMON,TOM,C1H500983,273.0,1,U15,C1H,3703 - VAL DE L'INDRE CK
LEDUCQ,GABIN,C1H501087,983.5,2,U18,C1H,2415 - A.L. MARSAC SUR L'ISLE
ROUY,NATHAN,C1H501262,162.75,4,U18,C1H,7203 - CK CLUB DU MANS
RENAUDINEAU,Antoine,C1H501473,426.0,1,U15,C1H,4405 - CK CLISSON
LAMBERT,Sacha,C1H501552,470.0,1,U15,C1H,3703 - VAL DE L'INDRE CK
APARICIO FERNANDEZ,Milan,C1H504077,214.25,4,U18,C1H,1306 - MARSEILLE MAZARGUES CK
METIER,NOAM,C1H505761,589.0,1,U15,C1H,1808 - BOURGES CK CLUB
SEGHOUANI,Khalil,C1H511539,508.5,4,U18,C1H,1306 - MARSEILLE MAZARGUES CK
FLAMIN,Gabriel,C1H512709,265.25,4,U15,C1H,2417 - ALP GNP PERIGUEUX
SOUCHEYRE,CHARLOTTE,C2D108509201412,199.25,4,,C2D,4421/9202 - NANTES ATLANTIQUE CK/BAC CK SEVRES ISSY
LOHEAC,MARION,C2D108509201412,199.25,4,,C2D,4421/9202 - NANTES ATLANTIQUE CK/BAC CK SEVRES ISSY
FRESLON,Pauline,C2D175411196731,98.5,2,,C2D,4921 - ENTENTE SPORTIVE ANJOU CK
LEBOUC,LISA,C2D175411196731,98.5,2,,C2D,4921 - ENTENTE SPORTIVE ANJOU CK
GAUBERT,CLARA,C2D183216224719,120.25,4,,C2D,2403 - UNION SPORTIVE NEUVICOISE DE CK
GAUBERT,ELSA,C2D183216224719,120.25,4,,C2D,2403 - UNION SPORTIVE NEUVICOISE DE CK
CHARLAIGRE,ADELE,C2D198126254742,201.5,4,,C2D,7705 - TORCY CK
DELAHAYE,CLARA,C2D198126254742,201.5,4,,C2D,7705 - TORCY CK
DHEILLY,ANGELINE,C2D201194500557,527.0,2,,C2D,8003 - PICQUIGNY VIEILLE SOMME
DANZEL,ANAIS,C2D201194500557,527.0,2,,C2D,8003 - PICQUIGNY VIEILLE SOMME
GAUBERT,CLARA,C2D224719183216,108.0,4,,C2D,2403 - UNION SPORTIVE NEUVICOISE DE CK
GAUBERT,ELSA,C2D224719183216,108.0,4,,C2D,2403 - UNION SPORTIVE NEUVICOISE DE CK
DOMIEN,LAURINE,C2D280973383581,531.75,4,,C2D,2711 - VAL DE REUIL PAGAIE PASSION
SANOGO,MADOUSSOU,C2D280973383581,531.75,4,,C2D,2711 - VAL DE REUIL PAGAIE PASSION
LE PALLEC,Claire,C2D303298383815,269.25,4,,C2D,9404 - JOINVILLE EAU VIVE
LLORET LINARES,Luna,C2D303298383815,269.25,4,,C2D,9404 - JOINVILLE EAU VIVE
GENDRON,Jeanne,C2D313548351422,262.0,1,,C2D,9202 - BAC CK SEVRES ISSY
HUIBAN-DESCOFFRE,CAROLE,C2D313548351422,262.0,1,,C2D,9202 - BAC CK SEVRES ISSY
BEAUDUCEL,Angeline,C2D327065327067,137.0,4,,C2D,2214 - C.K.C PLANCOET
BIDAULT,Yaelle,C2D327065327067,137.0,4,,C2D,2214 - C.K.C PLANCOET
DIDIER,Leonie,C2D331739482154,220.5,4,,C2D,8802 - AS GERARDMER CK
MATHIOT,Lisa,C2D331739482154,220.5,4,,C2D,8802 - AS GERARDMER CK
ROUSSEAU,PRUNE,C2D331911441022,380.75,4,,C2D,8010 - CK CLUB DE HAM
BECQUET,Brownichka,C2D331911441022,380.75,4,,C2D,8010 - CK CLUB DE HAM
METTE,CLOTILDE,C2D353472354208,403.0,2,,C2D,0208/0204 - CANOE CLUB DE GUISE/A.S.C.R. RIBEMONT
NORGUET,CLARA,C2D353472354208,403.0,2,,C2D,0208/0204 - CANOE CLUB DE GUISE/A.S.C.R. RIBEMONT
METTE,CLOTILDE,C2D353472453575,489.0,1,,C2D,0208 - CANOE CLUB DE GUISE
MANGOT,LILOU,C2D353472453575,489.0,1,,C2D,0208 - CANOE CLUB DE GUISE
NORGUET,CLARA,C2D354208420583,276.67,3,,C2D,0204/0211 - A.S.C.R. RIBEMONT/C.K. PLEIN AIR DE CHAUNY
BELTON,Zoe,C2D354208420583,276.67,3,,C2D,0204/0211 - A.S.C.R. RIBEMONT/C.K. PLEIN AIR DE CHAUNY
GREAU,Manon,C2D380179421561,212.0,4,,C2D,8501 - CK FONTENAY LE COMTE
PIGNON,Mae,C2D380179421561,212.0,4,,C2D,8501 - CK FONTENAY LE COMTE
VALETTE,Isaure,C2D383919405700,259.25,4,U15,C2D,2412/2415 - CASTELNAUD EN PERIGORD KC/A.L. MARSAC SUR L'ISLE
IBORRA MOLINS-DENIS,Elisa,C2D383919405700,259.25,4,U15,C2D,2412/2415 - CASTELNAUD EN PERIGORD KC/A.L. MARSAC SUR L'ISLE
GAUTIER,MAEVA,C2D413643478588,228.0,4,,C2D,3501 - KAYAK CLUB PONT REAN
LARCHER,MELICE,C2D413643478588,228.0,4,,C2D,3501 - KAYAK CLUB PONT REAN
FAÏNA,Capucine,C2D415804431749,221.75,4,U15,C2D,3309 - CK SPORT LIBOURNE
PEREIRA,Elisa,C2D415804431749,221.75,4,U15,C2D,3309 - CK SPORT LIBOURNE
GRZESKOWIAK,AIMIE,C2D418025502397,619.5,4,,C2D,6414 - U.S.C. NAY CK
PONS-GENTY,ALIX,C2D418025502397,619.5,4,,C2D,6414 - U.S.C. NAY CK
DUQUERROY,Noellie,C2D418207501502,372.0,1,,C2D,8604 - CK VIVONNE LES PAGAYOUS
BOISSEAU,Justine,C2D418207501502,372.0,1,,C2D,8604 - CK VIVONNE LES PAGAYOUS
MAGNIEZ,Rachel,C2D433936433941,245.0,4,,C2D,3105 - VENERQUE EAUX VIVES
PROCESSE,Elina,C2D433936433941,245.0,4,,C2D,3105 - VENERQUE EAUX VIVES
SAMMUT,Ninon,C2D453502461277,186.0,4,,C2D,2403 - UNION SPORTIVE NEUVICOISE DE CK
TCHAO,Sarah,C2D453502461277,186.0,4,,C2D,2403 - UNION SPORTIVE NEUVICOISE DE CK
SAMMUT,Ninon,C2D461277453502,231.0,4,,C2D,2403 - UNION SPORTIVE NEUVICOISE DE CK
TCHAO,Sarah,C2D461277453502,231.0,4,,C2D,2403 - UNION SPORTIVE NEUVICOISE DE CK
DANIEL,Elisa,C2D474161474467,1110.5,2,U15,C2D,5630 - CANOE KAYAK AMICALE LAIQUE DE CLEGUER
BOUCHARD,Alwenna,C2D474161474467,1110.5,2,U15,C2D,5630 - CANOE KAYAK AMICALE LAIQUE DE CLEGUER
GAUTHIER,EMMA,C2D500398502407,441.5,4,U15,C2D,3311 - CK CLUB LE TEICH
LONG,Justine,C2D500398502407,441.5,4,U15,C2D,3311 - CK CLUB LE TEICH
ASSELIN,JULIETTE,C2D500520500965,556.0,1,U15,C2D,4566 - PAGAIE ORLEANS METROPOLE
GARNIER,Alice,C2D500520500965,556.0,1,U15,C2D,4566 - PAGAIE ORLEANS METROPOLE
CHASSIGNEUX,PIERRE,C2H000334004742,189.0,1,M,C2H,8501 - CK FONTENAY LE COMTE
CHASSIGNEUX,CHARLY,C2H000334004742,189.0,1,M,C2H,8501 - CK FONTENAY LE COMTE
CHASSIGNEUX,PIERRE,C2H000334052354,238.0,1,M,C2H,8501 - CK FONTENAY LE COMTE
BATTESTI,JEANFRANCIS,C2H000334052354,238.0,1,M,C2H,8501 - CK FONTENAY LE COMTE
BONNET,SERGE,C2H000398052092,201.0,2,M,C2H,0310/9407 - CK VALLEE DE MONTLUCON/RED STAR CLUB CHAMPIGNY
NARDEAU,JACQUES,C2H000398052092,201.0,2,M,C2H,0310/9407 - CK VALLEE DE MONTLUCON/RED STAR CLUB CHAMPIGNY
VALETTE,SEBASTIEN,C2H000442154210,170.0,4,M,C2H,2412 - CASTELNAUD EN PERIGORD KC
PEIRO,GERMINAL,C2H000442154210,170.0,4,M,C2H,2412 - CASTELNAUD EN PERIGORD KC
FERREIRA,VINCENT,C2H000496000669,47.75,4,M,C2H,0211 - C.K. PLEIN AIR DE CHAUNY
BELTON,DAVID,C2H000496000669,47.75,4,M,C2H,0211 - C.K. PLEIN AIR DE CHAUNY
KARMUSIK,LAURENT,C2H000750019572,132.0,3,M,C2H,0205 - THIERACHE SPORT NATURE
LAVENANT,JEROME,C2H000750019572,132.0,3,M,C2H,0205 - THIERACHE SPORT NATURE
CERNEY,BERNARD,C2H000869079296,270.0,2,M,C2H,8003 - PICQUIGNY VIEILLE SOMME
COMONT,CHRISTOPHE,C2H000869079296,270.0,2,M,C2H,8003 - PICQUIGNY VIEILLE SOMME
SANTAMARIA,STEPHANE,C2H001109113212,12.0,1,,C2H,2410/6701 - GALO PORT SAINTE FOY/STRASBOURG EAUX VIVES
DAZEUR,Quentin,C2H001109113212,12.0,1,,C2H,2410/6701 - GALO PORT SAINTE FOY/STRASBOURG EAUX VIVES
SOVEAUX,DAVID,C2H002829062233,51.5,4,M,C2H,0204 - A.S.C.R. RIBEMONT
BETHUNE,FABRICE,C2H002829062233,51.5,4,M,C2H,0204 - A.S.C.R. RIBEMONT
VAN NIFTERIK - LAVIALLE,PIERRE,C2H005764065389,44.0,4,M,C2H,2412 - CASTELNAUD EN PERIGORD KC
MAURICE,GREGORY,C2H005764065389,44.0,4,M,C2H,2412 - CASTELNAUD EN PERIGORD KC
SALLE,Denis,C2H008206159676,117.75,4,M,C2H,3704 - C.O.C.C.K. CHINON
DELHOUME,CHRISTIAN,C2H008206159676,117.75,4,M,C2H,3704 - C.O.C.C.K. CHINON
ALLIOTTE,ERIC,C2H008954019942,164.0,2,M,C2H,8003 - PICQUIGNY VIEILLE SOMME
FACQUEZ,JEAN-FRANCOIS,C2H008954019942,164.0,2,M,C2H,8003 - PICQUIGNY VIEILLE SOMME
MULLER,JEROME,C2H013764039037,99.0,4,M,C2H,2415 - A.L. MARSAC SUR L'ISLE
MARY,FREDERIC,C2H013764039037,99.0,4,M,C2H,2415 - A.L. MARSAC SUR L'ISLE
NOGUES,TONY,C2H017586062804,68.75,4,M,C2H,1604 - COGNAC CK
BRUNET,SYLVAIN,C2H017586062804,68.75,4,M,C2H,1604 - COGNAC CK
GERARD,Mathias,C2H022082041339,70.0,2,M,C2H,3812/8802 - GRENOBLE ALPES CK/AS GERARDMER CK
DUCHET,GWENDAL,C2H022082041339,70.0,2,M,C2H,3812/8802 - GRENOBLE ALPES CK/AS GERARDMER CK
PIGNON,Aurelien,C2H028199052354,180.25,4,M,C2H,8501 - CK FONTENAY LE COMTE
BATTESTI,JEANFRANCIS,C2H028199052354,180.25,4,M,C2H,8501 - CK FONTENAY LE COMTE
BRODIEZ,MARC,C2H028201062599,74.25,4,M,C2H,8501 - CK FONTENAY LE COMTE
BRODIEZ,Pascal,C2H028201062599,74.25,4,M,C2H,8501 - CK FONTENAY LE COMTE
REMY,PHILIPPE,C2H030271063034,107.25,4,M,C2H,9404 - JOINVILLE EAU VIVE
PAOLETTI,Philippe,C2H030271063034,107.25,4,M,C2H,9404 - JOINVILLE EAU VIVE
COTTEAUX,JULIEN,C2H038484381869,37.5,2,M,C2H,3522 - CESSON SEVIGNE CK LES POISSONS VOLANTS
METAY,EMMANUEL,C2H038484381869,37.5,2,M,C2H,3522 - CESSON SEVIGNE CK LES POISSONS VOLANTS
OLIVIER,Clement,C2H040600104259,90.0,1,M,C2H,2209/2206 - CANOE CLUB DU LIE/LA ROCHE DERRIEN CK
OLLIVIER,RIWAL,C2H040600104259,90.0,1,M,C2H,2209/2206 - CANOE CLUB DU LIE/LA ROCHE DERRIEN CK
BOOB,CHRISTIAN,C2H040739040740,71.25,4,M,C2H,1604/1620 - COGNAC CK/TARDOIRE CK
BOOB,FREDERIC,C2H040739040740,71.25,4,M,C2H,1604/1620 - COGNAC CK/TARDOIRE CK
DUCHET,GWENDAL,C2H041339145061,115.0,1,M,C2H,8802 - AS GERARDMER CK
PISCHEK,JAN,C2H041339145061,115.0,1,M,C2H,8802 - AS GERARDMER CK
CHANEL,JULIEN,C2H041892062537,114.25,4,M,C2H,6309/9202 - CLERMONT COMMUNAUTE CK/BAC CK SEVRES ISSY
CHARBONNIER,CHRISTIAN,C2H041892062537,114.25,4,M,C2H,6309/9202 - CLERMONT COMMUNAUTE CK/BAC CK SEVRES ISSY
MOREAU,JEAN-PIERRE,C2H043804069648,117.5,4,M,C2H,2711 - VAL DE REUIL PAGAIE PASSION
MOREAU,JEAN-MICHEL,C2H043804069648,117.5,4,M,C2H,2711 - VAL DE REUIL PAGAIE PASSION
LACIRE,JEROME,C2H045461081038,135.25,4,M,C2H,5109 - SILLERY CHAMPAGNE C.K.
MAILFAIT,JEROME,C2H045461081038,135.25,4,M,C2H,5109 - SILLERY CHAMPAGNE C.K.
GEORGIN,Olivier,C2H050947227472,217.75,4,M,C2H,2711 - VAL DE REUIL PAGAIE PASSION
CABANNE,PHILIPPE,C2H050947227472,217.75,4,M,C2H,2711 - VAL DE REUIL PAGAIE PASSION
BRODIEZ,Pascal,C2H062599062936,28.33,3,M,C2H,8501 - CK FONTENAY LE COMTE
AUVOLAT,CHRISTIAN,C2H062599062936,28.33,3,M,C2H,8501 - CK FONTENAY LE COMTE
LE PROVOST,NICOLAS,C2H067013144426,66.67,3,M,C2H,2412/2417 - CASTELNAUD EN PERIGORD KC/ALP GNP PERIGUEUX
MAREAU,DAMIEN,C2H067013144426,66.67,3,M,C2H,2412/2417 - CASTELNAUD EN PERIGORD KC/ALP GNP PERIGUEUX
DHEILLY,LAURENT,C2H082452118747,332.0,2,M,C2H,8003 - PICQUIGNY VIEILLE SOMME
VERMERSCH,PHILIPPE,C2H082452118747,332.0,2,M,C2H,8003 - PICQUIGNY VIEILLE SOMME
LAFEUILLE,JULIEN,C2H083359150128,89.75,4,M,C2H,1911 - HAUTE CORREZE KAYAK CLUB
BERLAND,VALENTIN,C2H083359150128,89.75,4,M,C2H,1911 - HAUTE CORREZE KAYAK CLUB
VANNESTE,MATTHIEU,C2H101138107203,108.75,4,M,C2H,2711 - VAL DE REUIL PAGAIE PASSION
DUVAL,CYRIL,C2H101138107203,108.75,4,M,C2H,2711 - VAL DE REUIL PAGAIE PASSION
BAGOT,JULES,C2H104671251550,141.0,2,,C2H,6803 - C.K. APACH COLMAR
QUENAULT,RAPHAEL,C2H104671251550,141.0,2,,C2H,6803 - C.K. APACH COLMAR
LAPOINTE,LOUIS,C2H139314299519,36.0,1,,C2H,8802 - AS GERARDMER CK
WEHMER,YVES,C2H139314299519,36.0,1,,C2H,8802 - AS GERARDMER CK
PAAUW,PIETER,C2H155730355334,229.0,1,,C2H,1962 - ARGENTAT DORDOGNE CANOE-KAYAK
PAPAÏX,ROBIN,C2H155730355334,229.0,1,,C2H,1962 - ARGENTAT DORDOGNE CANOE-KAYAK
LEMARCHAND,FLORIAN,C2H169983215482,15.0,2,,C2H,6102 - PL ARGENTAN CANOE KAYAK
FERRION,CHARLES,C2H169983215482,15.0,2,,C2H,6102 - PL ARGENTAN CANOE KAYAK
TROUBADY,PIERRE,C2H171952191980,16.5,2,,C2H,2417/4409 - ALP GNP PERIGUEUX/GETIGNE CK
MORET,HUGUES,C2H171952191980,16.5,2,,C2H,2417/4409 - ALP GNP PERIGUEUX/GETIGNE CK
DESEUSTE,Pierre,C2H171961181499,81.25,4,,C2H,3501 - KAYAK CLUB PONT REAN
SALIBA,JULIEN,C2H171961181499,81.25,4,,C2H,3501 - KAYAK CLUB PONT REAN
DESEUSTE,Pierre,C2H171961244233,8.33,3,,C2H,3501 - KAYAK CLUB PONT REAN
GUIZIOU,MAXENCE,C2H171961244233,8.33,3,,C2H,3501 - KAYAK CLUB PONT REAN
RUIZ,ANTHONY,C2H181271214315,1.5,4,,C2H,2417/8402 - ALP GNP PERIGUEUX/JEUNE CK AVIGNONNAIS
KLATT,ETIENNE,C2H181271214315,1.5,4,,C2H,2417/8402 - ALP GNP PERIGUEUX/JEUNE CK AVIGNONNAIS
CRETTE,FLORIAN,C2H191965297850,63.0,1,,C2H,0211/8010 - C.K. PLEIN AIR DE CHAUNY/CK CLUB DE HAM
PISKULA,LEANDRE,C2H191965297850,63.0,1,,C2H,0211/8010 - C.K. PLEIN AIR DE CHAUNY/CK CLUB DE HAM
VIENS,Theo,C2H194386222871,7.5,4,,C2H,8404/2415 - CLUB CK L'ISLOIS/A.L. MARSAC SUR L'ISLE
SAUTEUR,NICOLAS,C2H194386222871,7.5,4,,C2H,8404/2415 - CLUB CK L'ISLOIS/A.L. MARSAC SUR L'ISLE
FERRION,CHARLES,C2H215482255625,51.5,2,,C2H,6102 - PL ARGENTAN CANOE KAYAK
LE CADRE,ENZO,C2H215482255625,51.5,2,,C2H,6102 - PL ARGENTAN CANOE KAYAK
PASSERNIG,LOUIS,C2H222267238393,0.25,4,,C2H,6803/7705 - C.K. APACH COLMAR/TORCY CK
PERREAU,MATHIS,C2H222267238393,0.25,4,,C2H,6803/7705 - C.K. APACH COLMAR/TORCY CK
SAUTEUR,NICOLAS,C2H222871309196,4.0,4,,C2H,2415 - A.L. MARSAC SUR L'ISLE
ZANNI,Matteo,C2H222871309196,4.0,4,,C2H,2415 - A.L. MARSAC SUR L'ISLE
REBOUL,Augustin,C2H223126243079,0.0,2,,C2H,9404 - JOINVILLE EAU VIVE
CHEVALLIER,JEAN,C2H223126243079,0.0,2,,C2H,9404 - JOINVILLE EAU VIVE
HELLE,MAXIME,C2H237121321873,127.33,3,,C2H,6701 - STRASBOURG EAUX VIVES
CANEVET,Yann,C2H237121321873,127.33,3,,C2H,6701 - STRASBOURG EAUX VIVES
COLLIGNON,THIBAUT,C2H238733330579,54.0,4,,C2H,0205 - THIERACHE SPORT NATURE
BORNET,PAUL,C2H238733330579,54.0,4,,C2H,0205 - THIERACHE SPORT NATURE
COMBE,CORENTIN,C2H239805241168,21.25,4,,C2H,1911 - HAUTE CORREZE KAYAK CLUB
MONJANEL,Clement,C2H239805241168,21.25,4,,C2H,1911 - HAUTE CORREZE KAYAK CLUB
ROUSSIN,MANOEL,C2H252875252876,0.0,4,,C2H,2403 - UNION SPORTIVE NEUVICOISE DE CK
ROUSSIN,TANGUY,C2H252875252876,0.0,4,,C2H,2403 - UNION SPORTIVE NEUVICOISE DE CK
PISCHEK,JAN GABIN,C2H258449319081,87.0,4,,C2H,8802 - AS GERARDMER CK
DIDIER,THEO,C2H258449319081,87.0,4,,C2H,8802 - AS GERARDMER CK
FAUCHEUX,ROMAIN,C2H269755269756,123.75,4,,C2H,7209 - CK CLUB FERTOIS
CHANTEUX,VINCENT,C2H269755269756,123.75,4,,C2H,7209 - CK CLUB FERTOIS
NEVEU,Aurele,C2H283157283160,108.0,1,,C2H,8602 - CK CLUB POITEVIN
DELEPLANCQUE,LUCAS,C2H283157283160,108.0,1,,C2H,8602 - CK CLUB POITEVIN
MASSONNET,ANTOINE,C2H284083284332,32.75,4,,C2H,9404 - JOINVILLE EAU VIVE
GAUD,Thomas,C2H284083284332,32.75,4,,C2H,9404 - JOINVILLE EAU VIVE
GAUD,Thomas,C2H284332315213,26.0,4,,C2H,9404/7705 - JOINVILLE EAU VIVE/TORCY CK
ZEROUGA,NOUREDINE,C2H284332315213,26.0,4,,C2H,9404/7705 - JOINVILLE EAU VIVE/TORCY CK
KERLEAU,Thibault,C2H296394381055,90.25,4,,C2H,5609/3501 - CLUB NAUTIQUE DE BAUD/KAYAK CLUB PONT REAN
MAHE,CLEMENT,C2H296394381055,90.25,4,,C2H,5609/3501 - CLUB NAUTIQUE DE BAUD/KAYAK CLUB PONT REAN
FOUCHER,HUGO,C2H297281370415,79.0,1,,C2H,5302/8802 - CK LAVAL/AS GERARDMER CK
SCHOEPFER WALTER,Dimitri,C2H297281370415,79.0,1,,C2H,5302/8802 - CK LAVAL/AS GERARDMER CK
AUVOLAT,Gabriel,C2H297526326973,15.5,4,U18,C2H,8501/7209 - CK FONTENAY LE COMTE/CK CLUB FERTOIS
PICHARD,Emile,C2H297526326973,15.5,4,U18,C2H,8501/7209 - CK FONTENAY LE COMTE/CK CLUB FERTOIS
MONTOIR,Gaetan,C2H297681484072,385.5,4,U18,C2H,4566 - PAGAIE ORLEANS METROPOLE
PITET,MATHIS,C2H297681484072,385.5,4,U18,C2H,4566 - PAGAIE ORLEANS METROPOLE
PELLISSIER,HUGO,C2H298267339932,93.0,1,,C2H,1611/3318 - CK AUBETERRE/BOMMES NAUTIQUE CK
ARNOULD,ANTOINE,C2H298267339932,93.0,1,,C2H,1611/3318 - CK AUBETERRE/BOMMES NAUTIQUE CK
BIENASSIS,Robin,C2H298443325556,23.25,4,U18,C2H,8604/8606 - CK VIVONNE LES PAGAYOUS/VALLEE VONNE CK
DELEPLANCQUE,PAUL,C2H298443325556,23.25,4,U18,C2H,8604/8606 - CK VIVONNE LES PAGAYOUS/VALLEE VONNE CK
MAHE,MALIK,C2H298785350212,91.75,4,,C2H,2206 - LA ROCHE DERRIEN CK
MANAC'H-GOASAMPIS,Yoann,C2H298785350212,91.75,4,,C2H,2206 - LA ROCHE DERRIEN CK
RENAUD,Ethan,C2H299252310139,78.5,4,,C2H,2214 - C.K.C PLANCOET
COURAGE,Ilann,C2H299252310139,78.5,4,,C2H,2214 - C.K.C PLANCOET
MACOIN,Nathan,C2H306675371436,138.0,4,,C2H,8606 - VALLEE VONNE CK
BROSSARD,CHARLIE,C2H306675371436,138.0,4,,C2H,8606 - VALLEE VONNE CK
HADO,LUCAS,C2H309112463477,565.0,1,,C2H,5643/5605 - LANESTER CK CLUB/PLUMELIAU CK
LINE,Sacha,C2H309112463477,565.0,1,,C2H,5643/5605 - LANESTER CK CLUB/PLUMELIAU CK
GUIGNARD,Robin,C2H309940421562,57.67,3,U18,C2H,4405/8501 - CK CLISSON/CK FONTENAY LE COMTE
BLANCHARD,SAMUEL,C2H309940421562,57.67,3,U18,C2H,4405/8501 - CK CLISSON/CK FONTENAY LE COMTE
IANOTTO,Timeo,C2H310035325204,34.5,4,U18,C2H,3318/1712 - BOMMES NAUTIQUE CK/CLUB NAUTIQUE ROCHEFORTAIS
NOGUES,Elouan,C2H310035325204,34.5,4,U18,C2H,3318/1712 - BOMMES NAUTIQUE CK/CLUB NAUTIQUE ROCHEFORTAIS
LE NAOUR,CLEMENT,C2H310633352095,447.0,1,,C2H,5605 - PLUMELIAU CK
PONTILLO,Nino,C2H310633352095,447.0,1,,C2H,5605 - PLUMELIAU CK
ROSIER,Sasha,C2H312677465766,264.25,4,U18,C2H,5109 - SILLERY CHAMPAGNE C.K.
FIERLING,Quentin,C2H312677465766,264.25,4,U18,C2H,5109 - SILLERY CHAMPAGNE C.K.
TOSTAIN,DIMITRI,C2H316181316182,8.5,4,,C2H,7705 - TORCY CK
PAYEN,JEROME,C2H316181316182,8.5,4,,C2H,7705 - TORCY CK
DUBOTS DARTIGALONGUE,Martin,C2H320339473108,188.0,4,U18,C2H,5109 - SILLERY CHAMPAGNE C.K.
SCHAEFFER,Adrien,C2H320339473108,188.0,4,U18,C2H,5109 - SILLERY CHAMPAGNE C.K.
ROULAND,Martin,C2H323484464284,116.5,4,U18,C2H,4421 - NANTES ATLANTIQUE CK
VINCONNEAU,Thomas,C2H323484464284,116.5,4,U18,C2H,4421 - NANTES ATLANTIQUE CK
PINEAU,Thomas,C2H323624326094,187.25,4,U18,C2H,7206 - U.S.F. CK LA FLECHE
TAPISSIER,Robin,C2H323624326094,187.25,4,U18,C2H,7206 - U.S.F. CK LA FLECHE
MAYAUD INGHAM,Hugo,C2H324251374927,52.75,4,,C2H,2708 - CLUB SPORTIF BEAUMONTAIS CK
CLUPTY,ENZO,C2H324251374927,52.75,4,,C2H,2708 - CLUB SPORTIF BEAUMONTAIS CK
LE DORE,Audren,C2H324904340002,63.0,1,,C2H,4421 - NANTES ATLANTIQUE CK
GRONDIN,Felix,C2H324904340002,63.0,1,,C2H,4421 - NANTES ATLANTIQUE CK
NOGUES,Elouan,C2H325204325556,49.0,1,U18,C2H,1712 - CLUB NAUTIQUE ROCHEFORTAIS
DELEPLANCQUE,PAUL,C2H325204325556,49.0,1,U18,C2H,1712 - CLUB NAUTIQUE ROCHEFORTAIS
CIEKALA,Thomas,C2H327679348521,44.0,4,U18,C2H,9202 - BAC CK SEVRES ISSY
BACHOFFER,Jules,C2H327679348521,44.0,4,U18,C2H,9202 - BAC CK SEVRES ISSY
CIEKALA,Thomas,C2H327679453414,82.0,4,,C2H,9202 - BAC CK SEVRES ISSY
